Name,Typ,Adresse,Latitude,Longitude
Casa dell'Acqua,drinking_water,Adresse unbekannt,43.3443089,11.2852092
Drinking_water,drinking_water,Adresse unbekannt,43.373272,11.2356976
XXXI Canto,cafe,Adresse unbekannt,43.3897879,11.2239644
Antico Travaglio,restaurant,"Piazza Dante Alighieri, 6/a, 53035",43.389719,11.223796
La Bottega del Castello,cafe,Adresse unbekannt,43.3897734,11.2236433
Il Tagliere Medievale,restaurant,Adresse unbekannt,43.3897802,11.2236071
Bar dell'Orso,restaurant,"Via Cassia, 23, 53035, Monteriggioni",43.3927891,11.2188303
Drinking_water,drinking_water,Adresse unbekannt,43.3929537,11.2189385
Drinking_water,drinking_water,Adresse unbekannt,43.3899818,11.2232334
Drinking_water,drinking_water,Adresse unbekannt,43.3900581,11.2226721
Drinking_water,drinking_water,Adresse unbekannt,43.3903417,11.2223763
Bar Ristorante Il Feudo,restaurant,Adresse unbekannt,43.3899099,11.2232607
